Lookup Code,Description,Qty,Total (Tax included)
0110054137,Spring Rolls (2) ,514,"3,283.07"
0110125810,Pork Belly Banh Mi ,434,"4,143.09"
0110041204,Pho Special ,381,"4,881.29"
0110054059,Egg Rolls (3) ,351,0.09
0126073557,Thai Tea ,192,"1,016.16"
0110054856,Pho Shrimp ,173,"2,226.90"
0110055058,Lemongrass Chicken Banh Mi ,172,"1,470.02"
0712013609,Pho Filet Mignon ,169,"2,521.31"
0823044656,Vermicelli Salad ,168,"2,337.44"
0118072941,Pho Chicken ,143,"1,681.42"
0605023613,Chicken Skewers (3) ,137,0.07
0605023634,Mango Sweet Rice ,126,"1,142.76"
1112041825,Vietnamese Iced Coffee ,108,562.69
0718022356,Saigon Rice Plate ,107,"1,490.65"
0826060240,Firecracker Shrimp (5) ,95,-0.09
0110125814,Lemongrass Pork Banh Mi ,88,752.81
1112041851,Iced Matcha Latte ,81,426.66
0605023506,Pho Vegan ,76,964.09
0712044630,Chicken Skewer Plate ,76,896.80
0126073445,Tofu Spring Rolls (2) ,75,479.81
0808120923,Passionfruit Green Tea ,71,377.57
0227011223,Water Bottle ,69,144.95
0110060101,Coke ,66,138.40
0612013938,Tofu Banh Mi ,61,519.67
0529010936,Spicy Basil Chicken ,55,826.71
0608094441,Shrimp Banh Mi ,50,531.22
0110060114,7 Up ,32,66.88
0613112614,Jasmine Green Tea ,21,66.75
0826044947,Honeydew Green Tea ,20,106.70
0807042808,Pepsi ,18,37.81
0808120938,Strawberry Green Tea ,18,96.02
0606025139,Diet Pepsi ,16,33.63
1454683623,Open Price ,12,120.99
0612014956,Side of Rice ,11,29.04
0616061048,Side of Noodles and Broth ,10,85.69
0808045703,Extra Peanut Sauce ,7,3.78
0612015019,Side of Noodles ,4,12.71
0612015232,Side of Shrimp (2) ,3,9.53
0618081612,Side of Broth ,2,10.68
0529124749,Tofu Vermicelli Salad ,2,25.75
0312044744,Hot Coffee ,2,8.52
