Date Time,,Non Taxable,Taxable,Discount,Tax,Total Sales,Total Sales (Cash),Total Sales (Credit Card),Total Sales (Other Types),Service charges (Tax include),Total Sales + SC,Tips,Total Sales + SC + Tips,Paid Balance
01/01/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/02/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/03/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/04/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/05/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/06/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/07/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/08/20 00:00-23:59,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01/09/20 00:00-23:59,,0.00,105.58,0.00,11.32,116.90,116.90,0.00,0.00,0.00,116.90,0.00,116.90,0.00
01/10/20 00:00-23:59,,0.00,163.07,0.00,13.22,176.29,176.29,0.00,0.00,0.00,176.29,0.00,176.29,0.00
01/11/20 00:00-23:59,,12.80,"1,572.00",6.21,123.25,"1,701.84",577.30,"1,124.54",0.00,0.00,"1,701.84",68.53,"1,770.37",0.00
01/12/20 00:00-23:59,,0.00,888.72,22.70,67.69,933.71,191.12,742.59,0.00,0.00,933.71,43.83,977.54,0.00
01/13/20 00:00-23:59,,19.90,661.43,7.44,51.42,725.31,229.74,495.57,0.00,0.00,725.31,13.81,739.12,0.00
01/14/20 00:00-23:59,,17.50,862.36,1.80,67.74,945.80,336.82,608.98,0.00,0.00,945.80,34.14,979.94,0.00
01/15/20 00:00-23:59,,0.00,894.17,5.89,69.16,957.44,104.03,853.41,0.00,0.00,957.44,51.62,"1,009.06",0.00
01/16/20 00:00-23:59,,1.92,944.65,4.90,73.33,"1,015.00",156.91,858.09,0.00,0.00,"1,015.00",42.75,"1,057.75",0.00
01/17/20 00:00-23:59,,0.00,"1,625.61",73.06,121.16,"1,673.71",304.35,"1,369.36",0.00,0.00,"1,673.71",108.50,"1,782.21",0.00
01/18/20 00:00-23:59,,39.80,"1,382.94",20.04,106.85,"1,509.55",388.34,"1,121.21",0.00,0.00,"1,509.55",65.40,"1,574.95",0.00
01/19/20 00:00-23:59,,11.95,"1,463.68",4.32,114.17,"1,585.48",346.21,"1,239.27",0.00,0.00,"1,585.48",70.11,"1,655.59",0.00
01/20/20 00:00-23:59,,17.95,"1,292.46",3.32,101.04,"1,408.13",349.11,"1,059.02",0.00,0.00,"1,408.13",86.88,"1,495.01",0.00
01/21/20 00:00-23:59,,0.00,908.55,3.93,70.50,975.12,134.68,840.44,0.00,0.00,975.12,40.16,"1,015.28",0.00
01/22/20 00:00-23:59,,0.00,821.66,7.93,63.77,877.50,229.32,648.18,0.00,0.00,877.50,29.44,906.94,0.00
01/23/20 00:00-23:59,,0.00,897.68,15.69,69.15,951.14,247.67,703.47,0.00,0.00,951.14,41.62,992.76,0.00
01/24/20 00:00-23:59,,0.00,974.35,17.40,74.70,"1,031.65",194.58,837.07,0.00,0.00,"1,031.65",56.34,"1,087.99",0.00
01/25/20 00:00-23:59,,0.00,"1,386.02",17.93,107.47,"1,475.56",457.75,"1,017.81",0.00,0.00,"1,475.56",64.56,"1,540.12",0.00
01/26/20 00:00-23:59,,0.00,"1,416.25",9.74,110.16,"1,516.67",356.42,"1,160.25",0.00,0.00,"1,516.67",99.61,"1,616.28",0.00
01/27/20 00:00-23:59,,3.85,652.30,3.13,50.83,703.85,176.46,527.39,0.00,0.00,703.85,42.01,745.86,0.00
01/28/20 00:00-23:59,,0.00,650.21,7.03,50.27,693.45,144.87,548.58,0.00,0.00,693.45,37.21,730.66,0.00
01/29/20 00:00-23:59,,0.00,795.41,1.50,62.00,855.91,161.93,693.98,0.00,0.00,855.91,33.74,889.65,0.00
01/30/20 00:00-23:59,,8.50,964.90,27.42,73.34,"1,019.32",213.75,805.57,0.00,0.00,"1,019.32",55.75,"1,075.07",0.00
01/31/20 00:00-23:59,,0.00,868.11,4.97,67.62,930.76,226.44,704.32,0.00,0.00,930.76,55.49,986.25,0.00
02/01/20 00:00-23:59,,1.91,"1,206.41",12.02,93.63,"1,289.93",361.02,928.91,0.00,0.00,"1,289.93",61.27,"1,351.20",0.00
