Appetizers,Qty,Total
(2),143,706.12
Egg Rolls (3),143,0.00
(3),141,979.95
Egg Rolls (3),141,0.00
(3),51,456.45
Chicken Skewers (3),51,0.00
(4),49,335.69
Firecracker Shrimp (5),49,0.00
(2),41,283.56
Chicken Skewers (3),41,0.00
(7),30,328.50
Firecracker Shrimp (5),30,0.00
Fries,29,0.00
Saigon Hot Wings,29,228.17
Regular Fries,5,19.20
Fries,5,0.00
House Fries,4,13.50
Fries,4,0.00
Rice,Qty,Total
pork,34,0.00
Saigon Rice Plate,34,436.42
Salad,Qty,Total
pork,90,0.00
Vermicelli Salad,90,"1,158.38"
chicken,35,0.00
Vermicelli Salad,35,451.96
shrimp,31,60.16
Vermicelli Salad,31,399.51
